duration,Type,mode,len,IP,len,src_IP,dst_IP,len,class
23:08:32.179706,"ARP,",Ethernet,6,len,4,10.0.0.32,8a:b6:1a:7e:d4:20,28,1
23:08:32.749235,"ARP,",Ethernet,6,len,4,10.0.0.57,"10.0.0.1,",28,0
23:08:32.749791,"ARP,",Ethernet,6,len,4,10.0.0.57,1a:38:6b:2d:5e:0e,28,1
23:08:33.040786,"ARP,",Ethernet,6,len,4,10.0.0.60,"10.0.0.1,",28,0
23:08:33.041350,"ARP,",Ethernet,6,len,4,10.0.0.60,ae:f0:36:a9:1c:d1,28,1
23:08:33.473450,"ARP,",Ethernet,6,len,4,10.0.0.63,"10.0.0.1,",28,0
23:08:33.473897,"ARP,",Ethernet,6,len,4,10.0.0.63,ae:e5:93:81:ca:fd,28,1
23:08:33.773940,"ARP,",Ethernet,6,len,4,10.0.0.35,"10.0.0.1,",28,0
23:08:33.775491,"ARP,",Ethernet,6,len,4,10.0.0.35,8a:a4:5e:ac:d6:2f,28,1
23:08:34.205108,"ARP,",Ethernet,6,len,4,10.0.0.36,"10.0.0.1,",28,0
23:08:34.206725,"ARP,",Ethernet,6,len,4,10.0.0.36,5a:d7:c7:df:cb:a9,28,1
23:08:34.368987,"ARP,",Ethernet,6,len,4,10.0.0.33,"10.0.0.1,",28,0
23:08:34.370432,"ARP,",Ethernet,6,len,4,10.0.0.33,0e:d5:c7:39:02:d9,28,1
23:08:34.676815,"ARP,",Ethernet,6,len,4,10.0.0.31,"10.0.0.1,",28,0
23:08:34.678523,"ARP,",Ethernet,6,len,4,10.0.0.31,36:f5:f1:53:f2:9a,28,1
23:08:37.024531,"ARP,",Ethernet,6,len,4,10.0.0.50,"10.0.0.1,",28,0
23:08:37.026417,"ARP,",Ethernet,6,len,4,10.0.0.50,d6:62:5d:45:97:74,28,1
23:08:39.053388,"ARP,",Ethernet,6,len,4,10.0.0.27,"10.0.0.1,",28,0
23:08:39.056280,"ARP,",Ethernet,6,len,4,10.0.0.27,2e:1c:7b:86:fd:9f,28,1
23:08:40.021176,"ARP,",Ethernet,6,len,4,10.0.0.47,"10.0.0.1,",28,0
23:08:40.022910,"ARP,",Ethernet,6,len,4,10.0.0.47,3e:6b:4a:1f:d1:05,28,1
23:08:41.408672,"ARP,",Ethernet,6,len,4,10.0.0.18,"10.0.0.1,",28,0
